Episodes,Rewards
0,2203.9989238443422
1,4179.206167017951
2,3810.256778735039
3,3657.036266304114
4,3617.1637981187973
5,3548.345550332911
6,3610.377420150006
7,3568.8255541700814
8,3609.2502979450733
9,3555.895649372746
10,3637.648533540319
11,3683.5038692485246
12,3966.9126551487852
13,4329.907653245113
14,4215.952752933146
15,4232.463634589033
16,4352.596733057201
17,4072.459475068968
18,3938.517778860463
19,4113.340101415773
20,3968.9422937750187
21,3983.4565924455374
22,3800.9734642591184
23,3409.5086088832873
24,3572.6068627304107
25,3398.8817396829504
26,3438.077927453185
27,3470.0074367118477
28,3295.6465626549693
29,3231.9808970748586
30,3420.2703102378405
31,3181.9670646547584
32,2705.404674592205
33,2761.137690108142
34,2531.738563372415
35,2237.289131156651
36,3031.252623726226
37,3396.8473824026946
38,3296.1331916778004
39,3398.190082884839
40,3190.900458418063
41,3353.3933648518673
42,3347.8564192344147
43,3619.636223928217
44,3646.6181159936395
45,3651.928335598925
46,3743.5195262501275
47,3713.87380049314
48,3977.24596408913
49,3910.4849856884885
50,3949.846704023361
51,4296.289116082689
52,4342.893055886528
53,4440.963784299176
54,4664.815760374637
55,4497.060724755018
56,4402.258963372194
57,4235.084409443909
58,3852.6196412387994
59,3245.920482726525
60,3297.452356866496
61,2979.3077372604166
62,2881.677364710099
63,3140.773013627088
64,3401.845627022128
65,3604.6671215677843
66,4322.825826534817
67,4327.831468500425
68,3962.410914711334
69,4209.748025023534
70,4203.755754486605
71,4140.217046591369
72,3317.3733240383012
73,3622.4332363647727
74,3776.688796592779
75,3814.382745464034
76,4113.056803362177
77,4251.46228458575
78,3580.9537439290334
79,3946.785092384017
80,3944.1888131845994
81,4134.493704155725
82,3777.0245765592235
83,3905.2092434974115
84,3903.0246448078756
85,4084.0678174009886
86,4180.242929359985
87,4122.911612096038
88,4066.012263547868
89,3498.9383756004004
90,4110.702378609742
91,4378.657521358627
92,4421.354126987731
93,4483.980451806774
94,4596.0283270953605
95,4451.157907965866
96,4473.737437016996
97,4506.278640035258
98,4448.78430454533
99,4370.267441091261
