Episodes,Rewards
0,3.3
1,5
2,179.6
3,17.87
4,5
5,5
6,5
7,3.06
8,161.69
9,1.39
10,5
11,1.78
12,5
13,0.04
14,5
15,5
16,10.94
17,5
18,5
19,11.93
20,2.81
21,5
22,33.71
23,5
24,33.71
25,14.9
26,0.83
27,191.93
28,55.49
29,27.77
30,15.89
31,185.18
32,97.07
33,6.98
34,175.28
35,211.91
36,111.92
37,120.83
38,363.38
39,193.1
40,166.37
41,0.93
42,1.4
43,458.15
44,0.29
45,360.41
46,159.44
47,362.39
48,429.71
49,0.17
50,2.83
51,0.14
52,0.56
53,232.7
54,345.56
55,248.54
56,326.75
57,209.93
58,112.91
59,205.97
60,2.22
61,181.22
62,135.68
63,5
64,155.48
65,0.8
66,5
67,140.63
68,217.85
69,405.95
70,373.28
71,326.75
72,300.02
73,294.08
74,453.47
75,365.36
76,0.38
77,308.93
78,320.81
79,189.14
80,471.29
81,529.74
82,271.31
83,282.2
84,356.45
85,0.18
86,0.95
87,329.72
88,364.37
89,388.13
90,373.28
91,429.71
92,376.25
93,422.78
94,337.01
95,520.25
96,593.53
97,1.14
98,370.31
99,412.88
final parameters£º,
310.3789,207.8806
target parameters£º,
300,200
